"year_sale";"month_sale";"IDATVEND";"ETAMANHO";"PORTO";"zona";"EESPECIE";"tipo_barco";"estrato_lei";"anonPRT";"QVENDA";"VVENDA";"DiaSemana";"PMED";"tipos_barcos3"
"2005";"Sep";2005-09-07;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"agc";5737,5;2580,07;"Wed";0,45;"Traineira"
"2005";"Jul";2005-07-15;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"age";405;675;"Fri";1,67;"Traineira"
"2006";"Dec";2006-12-15;"3";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"bde";810;286,2;"Fri";0,35;"Traineira"
"2006";"Nov";2006-11-15;"3";"OLHAO";"Sul";"Cavala";"traineira";"16-40";"abi";13000;3680;"Wed";0,28;"Traineira"
"2005";"Jun";2005-06-08;"4";"SINES";"Centro";"Cavala";"traineira";"16-40";"acj";1920;319,2;"Wed";0,17;"Traineira"
"2007";"Sep";2007-09-10;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"afc";13500;9889,15;"Mon";0,73;"Traineira"
"2005";"Feb";2005-02-02;"4";"PORTIMAO";"Sul";"Cavala";"traineira";"16-40";"adf";2000;765;"Wed";0,38;"Traineira"
"2006";"Jun";2006-06-24;"5";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"agj";233,2;268,37;"Sat";1,15;"Traineira"
"2007";"Jan";2007-01-05;"2";"SETUBAL";"Centro";"Sardinha";"traineira";"16-40";"bff";91,7;73,83;"Fri";0,81;"Traineira"
"2010";"Aug";2010-08-24;"2";"SINES";"Centro";"Sardinha";"traineira";"16-40";"acj";4872;2971,18;"Tue";0,61;"Traineira"
"2005";"Dec";2005-12-13;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"abh";5422,5;3266,34;"Tue";0,6;"Traineira"
"2008";"Mar";2008-03-20;"1";"POVOA DO VARZIM";"Norte";"Outros";"traineira";"16-40";"bfg";2,8;19,32;"Thu";6,9;"Traineira"
"2007";"Jan";2007-01-18;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"aed";1500;860;"Thu";0,57;"Traineira"
"2009";"Jul";2009-07-22;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"aed";2600;2000;"Wed";0,77;"Traineira"
"2007";"Jul";2007-07-06;"2";"POVOA DO VARZIM";"Norte";"Outros";"traineira";"16-40";"bfg";8,2;49,74;"Fri";6,07;"Traineira"
"2010";"Dec";2010-12-15;"3";"FIGUEIRA DA FOZ";"Norte";"Sardinha";"traineira";"16-40";"aic";4567,5;2713,64;"Wed";0,59;"Traineira"
