"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"2005-04-04";13207,5;13207,5;30172,5;30172,5;0;0;1494;1494;0;0;"PENICHE"
"2005-04-04";0;0;0;0;0;0;1657,1;1657,1;864,3;864,3;"SETUBAL"
"2005-04-04";8856;8856;9607;9607;0;0;585;585;1905;1905;"SINES"
"2005-04-05";59062,5;59062,5;13117,5;13117,5;0;0;13878;13878;0;0;"PENICHE"
"2005-04-05";273,3;273,3;0;0;0;0;2633,7;2633,7;1970,8;1970,8;"SETUBAL"
"2005-04-06";22590;22590;12397,5;12397,5;0;0;1962;1962;0;0;"PENICHE"
"2005-04-06";0;0;600;600;0;0;1271,5;1271,5;160,5;160,5;"SESIMBRA"
"2005-04-06";0;0;0;0;0;0;4065,6;4065,6;150,8;150,8;"SETUBAL"
"2005-04-07";12,1;12,1;0;0;0;0;1597,2;1597,2;230,9;230,9;"SETUBAL"
"2005-04-07";346,5;346,5;2415;2415;0;0;12,3;12,3;418,6;418,6;"QUARTEIRA"
"2005-04-10";131,5;131,5;863,8;863,8;0;0;1445,1;1445,1;971,4;971,4;"SETUBAL"
"2005-04-11";2857,5;2857,5;7357,5;7357,5;0;0;108;108;1170;1170;"PENICHE"
"2005-04-11";0;0;8548;8548;0;0;1342,7;1342,7;655,2;655,2;"SETUBAL"
"2005-04-11";33924;33924;7700;7700;0;0;74;74;38;38;"OLHAO"
"2005-04-12";0;0;600;600;0;0;791,1;791,1;853;853;"SESIMBRA"
"2005-04-12";14,7;14,7;315,9;315,9;0;0;878,7;878,7;234,1;234,1;"SETUBAL"
"2005-04-12";43239;43239;7560;7560;0;0;119;119;952,1;952,1;"OLHAO"
"2005-04-12";0;0;3360;3360;0;0;4,7;4,7;2292,3;2292,3;"QUARTEIRA"
"2005-04-13";22,5;22,5;27630;27630;0;0;54;54;260;260;"PENICHE"
"2005-04-13";0;0;803,2;803,2;0;0;34,2;34,2;199,6;199,6;"SETUBAL"
"2005-04-13";6055;6055;900;900;0;0;164;164;1167,4;1167,4;"OLHAO"
"2005-04-14";9052;9052;5000;5000;0;0;13,5;13,5;29;29;"OLHAO"
"2005-04-15";11260;11260;382;382;0;0;22;22;38,2;38,2;"OLHAO"
"2005-04-19";14287,5;14287,5;63135;63135;0;0;666;666;621;621;"PENICHE"
"2005-04-19";0;0;1400;1400;0;0;696,2;696,2;753,6;753,6;"SESIMBRA"
"2005-04-19";0;0;0;0;0;0;197;197;1228,5;1228,5;"SETUBAL"
"2005-04-19";24,5;24,5;30432;30432;0;0;4;4;702,6;702,6;"SINES"
"2005-04-20";16920;16920;17550;17550;0;0;5310;5310;772,5;772,5;"PENICHE"
"2005-04-20";1160;1160;11480;11480;0;0;99,5;99,5;722,4;722,4;"SESIMBRA"
"2005-04-20";0;0;0;0;0;0;655,1;655,1;483,7;483,7;"SETUBAL"
"2005-04-20";192;192;20640;20640;0;0;203,9;203,9;392,6;392,6;"SINES"
"2005-04-21";50212,5;50212,5;3172,5;3172,5;0;0;10620;10620;2570,5;2570,5;"PENICHE"
"2005-04-21";760;760;1660;1660;0;0;45;45;894,2;894,2;"SESIMBRA"
"2005-04-21";149,5;149,5;350,4;350,4;0;0;271,9;271,9;1594,6;1594,6;"SETUBAL"
"2005-04-21";294,5;294,5;18024;18024;0;0;89,2;89,2;155,5;155,5;"SINES"
"2005-04-21";2179,3;2179,3;0;0;0;0;28,3;28,3;0;0;"LAGOS"
"2005-04-22";0;0;0;0;0;0;233,8;233,8;421,2;421,2;"SESIMBRA"
"2005-04-22";2,9;2,9;18624;18624;0;0;14,3;14,3;99,3;99,3;"SINES"
"2005-04-25";11505;11505;4612,5;4612,5;0;0;18;18;516,5;516,5;"PENICHE"
"2005-04-25";1696,6;1696,6;575,5;575,5;0;0;4885,4;4885,4;1624;1624;"SESIMBRA"
"2005-04-25";117,9;117,9;86,1;86,1;0;0;727,7;727,7;589,9;589,9;"SETUBAL"
"2005-04-25";28;28;10;10;0;0;245;245;35;35;"OLHAO"
"2005-04-26";88587,5;88587,5;180;180;0;0;1422;1422;451;451;"PENICHE"
"2005-04-26";0;0;5400;5400;0;0;1215,1;1215,1;24,3;24,3;"SESIMBRA"
"2005-04-26";62,4;62,4;56,1;56,1;0;0;3550,6;3550,6;1877;1877;"SETUBAL"
"2005-04-26";104,1;104,1;249,6;249,6;0;0;15,8;15,8;209,8;209,8;"LAGOS"
"2005-04-26";34;34;8096;8096;0;0;347;347;142,8;142,8;"OLHAO"
"2005-04-27";164857,5;164857,5;540;540;0;0;6822;6822;11;11;"PENICHE"
"2005-04-27";500;500;13200;13200;0;0;51;51;976,3;976,3;"SESIMBRA"
"2005-04-27";58,1;58,1;0;0;0;0;1375,7;1375,7;1004,8;1004,8;"SETUBAL"
"2005-04-27";12,7;12,7;23016;23016;0;0;36,7;36,7;185,6;185,6;"SINES"
"2005-04-27";19533;19533;3022;3022;0;0;399;399;23;23;"OLHAO"
"2005-04-28";90100;90100;562,5;562,5;0;0;16506;16506;337;337;"PENICHE"
"2005-04-28";2400;2400;8400;8400;0;0;453,8;453,8;268;268;"SESIMBRA"
